panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y;db_ref;recording_givid
1;44_2;561267_v2018;44;1;2130;2130_hd;35;bestaand meetpunt;hoofdtype aanwezig;2018-09-26;32443,00;203482,00;10219313_2130_hd;"circle: IV2019022017453613; square: IV2019022017491986"
1;47_2;511687_v2020;47;1;2120;2120;84;bestaand meetpunt;hoofdtype aanwezig;2019-10-31;23365,00;199685,00;10233009;"circle: IV2020031522224643; square: IV2020031522270466"
1;49_1;590590_v2014;49;1;2120;2120;85;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;30339,60;202104,50;10239793;"circle: IV2020031621012941; square: IV2020031621034487"
1;50_1;444991_v2014;50;1;2130;2130_hd;60;bestaand meetpunt;hoofdtype aanwezig;2018-08-21;32953,00;202861,70;10252081;"circle: IV2019022011461240; square: IV2019022011550085"
1;51_1;544605_v2018;51;1;2130;2130_hd;95;bestaand meetpunt;hoofdtype aanwezig;2018-07-20;32431,70;203928,50;10260273;"circle: IV2019021817083167; square: IV2019021817150496"
1;53_1;536926_v2018;53;1;2130;2130_hd;100;bestaand meetpunt;hoofdtype aanwezig;2018-09-27;38003,40;207293,30;10283825;"circle: IV2019022015131506; square: IV2019022015174602"
1;55_1;560166_v2018;55;1;2120;2120;30;bestaand meetpunt;hoofdtype aanwezig;2019-10-18;53437,60;217518,10;10291313;"circle: IV2020031719305514; square: IV2020031719352910"
1;57_1;606676_v2018;57;1;2120;2120;75;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;29326,80;203104,20;10300977;"circle: IV2020031606440525; square: IV2020031607083552"
1;60_1;560754_v2018;60;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;57853,60;220398,10;10323381;"circle: IV2020031721263370; square: IV2020031721311008"
1;61_1;606676_v2018;61;1;2120;2120;75;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;29917,60;203374,10;10333745;"circle: IV2020031007173720; square: IV2020031007315831"
1;62_1;487758_v2020;62;1;2190;2190_overig;100;bestaand meetpunt;hoofdtype aanwezig;2018-08-14;33309,60;203438,10;10334001;"circle: IV2019021810361306; square: IV2019021810403014"
1;64_1;444735_v2016;64;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2018-07-16;32701,60;204014,10;10350385;"circle: IV2019032208302341; square: IV2019032208584087"
1;67_2;601978_v2014;67;1;2130;2130_had;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-22;38211,50;205477,50;10381105;"circle: IV2020032507573897; square: IV2020032508043894"
1;69_1;511704_v2020;69;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2018-09-27;37021,60;206894,10;10398513;"circle: IV2019021913152687; square: IV2019021913332143"
1;72_1;561267_v2018;72;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-08-24;33099,00;203898,30;10415921;"circle: IV2019032213402331; square: IV2019032213485629"
1;82_1;511704_v2020;82;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2018-09-27;37629,60;207374,10;10578737;"circle: IV2019022013410657; square: IV2019022013422931"
1;87_1;589734_v2014;87;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2018-08-23;32061,60;202734,10;10665777;"circle: IV2019022012425367; square: IV2019022012454117"
1;92_1;487758_v2020;92;1;2190;2190_mp;;bestaand meetpunt;hoofdtype aanwezig;2018-08-14;33277,60;203438,10;10809137;"circle: IV2019022019283436; square: IV2019022019311405"
1;93_1;601819_v2014;93;1;2130;2130_had;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-22;37995,60;205619,10;10839857;"circle: IV2020032507445260; square: IV2020032507521080"
1;94_1;517735_v2020;94;1;2190;2190_mp;;bestaand meetpunt;hoofdtype aanwezig;2018-08-14;33181,60;203502,10;11071281;"circle: IV2019022111563297; square: IV2019022112005848"
1;95_1;561267_v2018;95;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-07-23;32651,00;203722,00;11530033;"circle: IV2019021818015534; square: IV2019021818054897"
1;98_1;641402_v2014;98;1;2190;2190_mp;20;bestaand meetpunt;hoofdtype aanwezig;2018-07-23;32606,00;203776,00;11923249_2190_mp;"circle: IV2019022112420450; square: IV2019022112451373"
1;100_2;561349_v2018;100;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-09-20;32536,50;203350,60;12054321;"circle: IV2019022016562144; square: IV2019022016595035"
1;102_2;487758_v2020;102;1;2190;2190_mp;;bestaand meetpunt;hoofdtype aanwezig;2018-08-21;33434,20;203344,50;12431153;"circle: IV2019022019402585; square: IV2019022019432327"
1;103_1;561349_v2018;103;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-09-20;32381,60;203118,10;12545841;"circle: IV2019022017090395; square: IV2019022017120928"
1;105_1;561267_v2018;105;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-08-24;32861,60;203694,10;12644145;"circle: IV2019021816464213; square: IV2019021816515851"
1;107_2;561349_v2018;107;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-09-20;32453,90;202920,60;13070129;"circle: IV2019022017210446; square: IV2019022017234989"
1;112_2;624732_v2014;112;1;2190;2190_mp;100;bestaand meetpunt;hoofdtype aanwezig;2018-08-20;32725,00;203591,00;16772913;"circle: IV2019022112142789; square: IV2019022112243061"
1;20081_1;516933_v2020;20081;1;2130;2130_hd;100;nieuw meetpunt;hoofdtype aanwezig;;40893,60;209198,10;;
1;36917_1;578127_v2018;36917;1;2130;2130_hd;80;nieuw meetpunt;hoofdtype aanwezig;;76093,60;226286,10;;
1;37889_1;600358_v2014;37889;1;2130;2130_hd;95;nieuw meetpunt;hoofdtype aanwezig;;54813,60;217902,10;;
1;101169_1;517081_v2020;101169;0;2130;2130_hd;90;nieuw meetpunt;hoofdtype aanwezig;;35901,60;206350,10;;
1;116849_1;560166_v2018;116849;1;2130;2130_hd;60;nieuw meetpunt;hoofdtype aanwezig;;53789,60;217678,10;;
1;126769_1;624541_v2014;126769;1;2190;2190_mp;100;nieuw meetpunt;hoofdtype aanwezig;;32349,59;204046,11;;
1;163633_1;560873_v2018;163633;0;2120;2120;100;nieuw meetpunt;hoofdtype aanwezig;;30653,59;203790,11;;
1;169137_1;645479_v2020;169137;1;2130;2130_hd;12;nieuw meetpunt;hoofdtype aanwezig;;23901,59;198702,11;;
1;363313_1;497222_v2020;363313;1;2120;2120;100;nieuw meetpunt;hoofdtype aanwezig;;36093,59;206638,11;;
1;435377_2;517249_v2018;435377;1;2180;2180;45;nieuw meetpunt;hoofdtype aanwezig;;25533,59;198606,10;;
1;435377_1;517249_v2018;435377;1;2160;2160;55;nieuw meetpunt;hoofdtype aanwezig;;25533,60;198606,10;;
1;507697_1;589734_v2014;507697;1;2120;2120;100;nieuw meetpunt;hoofdtype aanwezig;;31997,60;202702,10;;
1;544821_1;646218_v2014;544821;1;2130;2130_had;20;nieuw meetpunt;subtype aanwezig;;76317,60;226158,10;;
1;611505_1;645479_v2020;611505;1;2120;2120;76;nieuw meetpunt;hoofdtype aanwezig;;22621,60;198670,10;;
1;627889_1;645479_v2020;627889;1;2120;2120;76;nieuw meetpunt;hoofdtype aanwezig;;23421,60;198478,10;;
1;634673_1;451175_v2014;634673;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;33597,60;203630,10;;
1;651057_1;444735_v2016;651057;1;2120;2120;100;nieuw meetpunt;hoofdtype aanwezig;;32509,60;203790,10;;
1;788593_1;624526_v2014;788593;1;2190;2190_mp;100;nieuw meetpunt;hoofdtype aanwezig;;53085,60;217230,10;;
1;862321_1;444760_v2016;862321;1;2130;2130_had;30;nieuw meetpunt;subtype aanwezig;;54173,59;216174,10;;
1;873649_1;518949_v2018;873649;1;2190;2190_overig;64;nieuw meetpunt;hoofdtype aanwezig;;23688,60;198220,30;;
1;954421_1;601065_v2014;954421;1;2130;2130_had;20;nieuw meetpunt;subtype aanwezig;;75901,60;226254,10;;
1;999217_1;624588_v2014;999217;1;2190;2190_mp;60;nieuw meetpunt;hoofdtype aanwezig;;30786,30;202189,50;;
1;1060401_1;638500_v2014;1060401;1;2160;2160;90;nieuw meetpunt;hoofdtype aanwezig;;29981,60;202894,10;;
1;1069233_1;645478_v2020;1069233;1;2160;2160;94;nieuw meetpunt;hoofdtype aanwezig;;23645,60;198062,10;;
1;1264241_1;602009_v2014;1264241;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;38589,60;205294,10;;
1;1306417_1;561267_v2018;1306417;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32445,59;203470,11;;
1;1354545_1;516966_v2020;1354545;1;2170;2170;100;nieuw meetpunt;hoofdtype aanwezig;;36861,59;206734,11;;
1;1433777_1;169342_v2020;1433777;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;24829,60;196366,10;;
1;1700017_1;601860_v2014;1700017;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;23645,60;195982,10;;
1;1722993_1;601951_v2014;1722993;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;39037,60;205806,10;;
1;1748785_1;444892_v2016;1748785;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;33597,60;203918,10;;
1;1797937_1;561349_v2018;1797937;1;2170;2170;40;nieuw meetpunt;hoofdtype aanwezig;;32605,60;203150,10;;
1;1898673_1;408179_v2014;1898673;1;2190;2190_mp;20;nieuw meetpunt;hoofdtype aanwezig;;28637,60;200398,10;;
1;1922225_1;511719_v2020;1922225;1;2190;2190_overig;60;nieuw meetpunt;hoofdtype aanwezig;;22621,60;198990,10;;
1;1962161_1;139759_v2020;1962161;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;23965,60;196046,10;;
1;1992497_1;601978_v2014;1992497;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;38173,60;205454,10;;
1;2003969_1;638283_v2014;2003969;1;2180;2180;100;nieuw meetpunt;hoofdtype aanwezig;;55773,60;218542,10;;
1;2050673_1;601967_v2014;2050673;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;38717,60;205294,10;;
1;2085041_1;601976_v2014;2085041;1;2130;2130_had;100;nieuw meetpunt;subtype aanwezig;;23933,60;196302,10;;
1;2135217_1;166869_v2020;2135217;1;2190;2190_overig;56;nieuw meetpunt;hoofdtype aanwezig;;23869,60;198222,10;;
1;2200577_1;597127_v2014;2200577;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;55069,60;218382,10;;
1;2314293_1;587725_v2018;2314293;1;2180;2180;100;nieuw meetpunt;hoofdtype aanwezig;;76829,60;226606,10;;
1;2352305_1;490473_v2020;2352305;1;2180;2180;98;nieuw meetpunt;hoofdtype aanwezig;;25565,60;199278,10;;
1;2358709_1;659818_v2014;2358709;1;2180;2180;100;nieuw meetpunt;hoofdtype aanwezig;;59037,59;220654,11;;
1;2401457_1;490473_v2020;2401457;1;2180;2180;98;nieuw meetpunt;hoofdtype aanwezig;;25309,60;198990,10;;
1;2430129_1;509605_v2020;2430129;1;2170;2170;40;nieuw meetpunt;hoofdtype aanwezig;;23517,59;199342,11;;
1;2456885_1;474989_v2020;2456885;1;2180;2180;100;nieuw meetpunt;hoofdtype aanwezig;;78621,60;228078,10;;
1;2466993_1;490473_v2020;2466993;1;2180;2180;98;nieuw meetpunt;hoofdtype aanwezig;;25661,60;199022,10;;
1;3108657_1;624749_v2014;3108657;1;2190;2190_mp;100;nieuw meetpunt;hoofdtype aanwezig;;32509,60;203086,10;;
1;3700913_1;414810_v2014;3700913;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;30205,60;201934,10;;
1;4184757_1;441562_v2016;4184757;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;65693,60;224430,10;;
1;4543665_1;509486_v2020;4543665;1;2170;2170;100;nieuw meetpunt;hoofdtype aanwezig;;22845,60;199054,10;;
1;4741813_1;624414_v2014;4741813;1;2190;2190_overig;90;nieuw meetpunt;hoofdtype aanwezig;;66333,60;224622,10;;
1;4761777_1;517232_v2018;4761777;1;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;26269,60;199214,10;;
1;4871345_1;166807_v2020;4871345;1;2190;2190_overig;69;nieuw meetpunt;hoofdtype aanwezig;;22813,60;198286,10;;
1;4877105_1;536911_v2018;4877105;1;2170;2170;100;nieuw meetpunt;hoofdtype aanwezig;;37949,60;207502,10;;
1;4936881_2;511719_v2020;4936881;1;2170;2170;22;nieuw meetpunt;hoofdtype aanwezig;;22525,59;198894,11;;
1;5205809_1;561349_v2018;5205809;1;2170;2170;40;nieuw meetpunt;hoofdtype aanwezig;;32285,60;203086,10;;
1;5238577_1;561267_v2018;5238577;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32637,60;203630,10;;
1;5461169_2;511719_v2020;5461169;1;2170;2170;22;nieuw meetpunt;hoofdtype aanwezig;;22461,59;198862,11;;
1;5500721_1;561267_v2018;5500721;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32477,60;203470,10;;
1;6287153_1;561267_v2018;6287153;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32541,60;203566,10;;
1;6549297_1;561349_v2018;6549297;1;2170;2170;40;nieuw meetpunt;hoofdtype aanwezig;;32445,60;203342,10;;
1;7050417_1;509553_v2020;7050417;1;2170;2170;80;nieuw meetpunt;hoofdtype aanwezig;;23261,60;198990,10;;
1;7270193_1;561267_v2018;7270193;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32893,60;203950,10;;
1;7302961_1;624749_v2014;7302961;1;2190;2190_mp;100;nieuw meetpunt;hoofdtype aanwezig;;32477,60;203022,10;;
1;7335729_1;561267_v2018;7335729;1;2170;2170;55;nieuw meetpunt;hoofdtype aanwezig;;32733,60;203630,10;;
1;10137393_1;444892_v2016;10137393;0;2190;2190_overig;100;nieuw meetpunt;hoofdtype aanwezig;;33661,59;203982,11;;
2;36_1;590458_v2014;36;0;2130;2130_hd;;bestaand meetpunt;hoofdtype aanwezig;2019-10-14;64829,60;224206,10;10160821;"circle: IV2020041015003402; square: IV2020041015045733"
2;43_1;570739_v2018;43;1;2130;2130_hd;75;bestaand meetpunt;hoofdtype aanwezig;2019-10-25;26572,60;200306,30;10213553;"circle: IV2020040710584322; square: IV2020040711103110"
2;46_1;645488_v2014;46;1;2130;2130_hd;80;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;27938,80;200861,80;10221745;"circle: IV2020041012063369; square: IV2020041012121406"
2;48_1;590380_v2014;48;1;2130;2130_hd;25;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;30805,90;202294,60;10235441;"circle: IV2020040610220027; square: IV2020040610284725"
2;52_1;511699_v2020;52;1;2130;2130_hd;80;bestaand meetpunt;hoofdtype aanwezig;2019-10-25;26532,90;199123,00;10266801;"circle: IV2020032508252645; square: IV2020032508304942"
2;54_1;581320_v2014;54;1;2130;2130_hd;30;bestaand meetpunt;hoofdtype aanwezig;2019-10-16;59453,60;221422,10;10288565;"circle: IV2020032507195059; square: IV2020032507272116"
2;58_2;638560_v2014;58;1;2130;2130_hd;30;bestaand meetpunt;hoofdtype aanwezig;2019-10-31;24229,40;199927,10;10314929;"circle: IV2020041012244148; square: IV2020041012315171"
2;63_1;448278_v2018;63;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-15;33629,60;204462,10;10342193;"circle: IV2020031623314554; square: IV2020031623341355"
2;65_2;497287_v2020;65;1;2120;2120;70;bestaand meetpunt;hoofdtype aanwezig;2019-10-28;77657,60;228544,60;10353973;"circle: IV2020032310484895; square: IV2020032310554905"
2;68_2;509507_v2020;68;1;2120;2120;64;bestaand meetpunt;hoofdtype aanwezig;2019-10-31;22523,70;199231,50;10392753;"circle: IV2020031521403397; square: IV2020031521461005"
2;70_1;606676_v2018;70;1;2120;2120;75;bestaand meetpunt;hoofdtype aanwezig;2019-10-23;29693,60;203342,10;10399281;"circle: IV2020031607155535; square: IV2020031607261542"
2;73_1;560754_v2018;73;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2019-10-16;59005,60;221230,10;10419637;"circle: IV2020031721391174; square: IV2020031721445054"
2;74_2;645479_v2020;74;1;2120;2120;76;bestaand meetpunt;hoofdtype aanwezig;2019-11-04;23541,70;198852,10;10458289;"circle: IV2020031519301833; square: IV2020031519312449"
2;75_2;663762_v2014;75;1;2120;2120;40;bestaand meetpunt;hoofdtype aanwezig;2019-10-17;56152,40;219213,00;10462645;"circle: IV2020031721123005; square: IV2020031721133100"
2;78_2;507126_v2018;78;1;2120;2120;60;bestaand meetpunt;hoofdtype aanwezig;2019-10-28;78372,80;228778,80;10517813;"circle: IV2020032307593888; square: IV2020032308041552"
2;81_1;590591_v2014;81;1;2130;2130_hd;;bestaand meetpunt;hoofdtype aanwezig;2019-10-16;62173,60;223118,10;10547637;"circle: IV2020041015191572; square: IV2020041015251468"
2;83_1;589621_v2014;83;1;2120;2120;90;bestaand meetpunt;hoofdtype aanwezig;2019-10-18;51613,60;216398,10;10606705;"circle: IV2020031718404748; square: IV2020031718454661"
2;84_1;589799_v2014;84;1;2130;2130_hd;15;bestaand meetpunt;hoofdtype aanwezig;2019-10-18;55261,60;218670,10;10642869;"circle: IV2020041015550279; square: IV2020041016164636"
2;86_1;645479_v2020;86;1;2120;2120;76;bestaand meetpunt;hoofdtype aanwezig;2019-11-04;23933,60;198830,10;10654897;"circle: IV2020031413234346; square: IV2020031416051174"
2;88_2;590304_v2014;88;1;2120;2120;80;bestaand meetpunt;hoofdtype aanwezig;2019-10-18;50977,40;216075,60;10672241;"circle: IV2020031718111730; square: IV2020031718194416"
2;90_1;596007_v2014;90;1;2130;2130_hd;70;bestaand meetpunt;hoofdtype aanwezig;2019-10-24;30205,60;201966,10;10778801;"circle: IV2020032508102596; square: IV2020032508164234"
2;108_2;561267_v2018;108;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-08-24;32972,70;203881,60;13561649;"circle: IV2019021813401634; square: IV2019021813445547"
2;109_2;561349_v2018;109;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-09-20;32306,80;203037,40;13594417;"circle: IV2019021809512830; square: IV2019021809593611"
2;110_2;561267_v2018;110;1;2170;2170;55;bestaand meetpunt;hoofdtype aanwezig;2018-09-18;33318,00;203982,00;13823793;"circle: IV2019021816153672; square: IV2019021816195603"
2;111_2;561349_v2018;111;1;2170;2170;40;bestaand meetpunt;hoofdtype aanwezig;2018-09-20;32452,40;203366,60;13889329;"circle: IV2019022013124861; square: IV2019022013161788"
2;2161_1;559934_v2018;2161;1;2130;2130_hd;20;bestaand meetpunt;hoofdtype aanwezig;2020-07-10;52989,60;217198,10;2161;"circle: IV2021011320130918; square: IV2021011320162379"
2;2741_1;590458_v2014;2741;0;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2021-08-09;64925,60;224238,10;2741;"circle: IV2022030210174364; square: IV2022030210245061"
2;3637_1;640554_v2014;3637;1;2130;2130_hd;100;bestaand meetpunt;hoofdtype aanwezig;2020-09-01;79805,60;228302,10;3637;"circle: IV2021020911000800; square: IV2021020911020461"
2;5297_2;517225_v2018;5297;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2020-08-27;23451,60;199789,80;5297;"circle: IV2020120213594183; square: IV2020120214062624"
2;11573_1;;11573;1;2180;2180;;bestaand meetpunt;hoofdtype aanwezig;2020-09-09;76829,60;226990,10;11573;"circle: IV2020120215592681; square: IV2020120216014961"
2;12401_1;589733_v2014;12401;0;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2021-08-11;49405,60;215086,10;12401;"circle: IV2022042716360493; square: IV2022042716401758"
2;20657_1;518938_v2018;20657;1;2130;2130_hd;77;bestaand meetpunt;hoofdtype aanwezig;2020-06-16;22952,40;197963,00;wz_10;"circle: IV2021011112005621; square: IV2021011112113548"
2;23221_2;507103_v2018;23221;1;2130;2130_hd;;bestaand meetpunt;hoofdtype aanwezig;2020-07-03;66127,60;224669,30;23221;"circle: IV2021011211541635; square: IV2021011211591816"
2;32053_2;507126_v2018;32053;1;2160;2160;15;bestaand meetpunt;hoofdtype aanwezig;2020-07-06;78556,20;228810,80;32053;"circle: IV2021011216211239; square: IV2021011216244401"
2;38065_1;511729_v2020;38065;1;2160;2160;95;bestaand meetpunt;hoofdtype aanwezig;2020-08-27;23589,60;199544,10;wn_25;"circle: IV2021020312441990; square: IV2021020313074317"
2;42161_1;490473_v2020;42161;1;2180;2180;98;bestaand meetpunt;hoofdtype aanwezig;2020-09-21;25464,90;199369,90;kd_05;"circle: IV2020113017361075; square: IV2020113017513017"
2;51313_1;589770_v2014;51313;1;2120;2120;95;bestaand meetpunt;hoofdtype aanwezig;2020-07-10;54589,60;218254,10;51313;"circle: IV2021011317421312; square: IV2021011317445965"
2;55473_1;570739_v2018;55473;1;2160;2160;18;bestaand meetpunt;hoofdtype aanwezig;2021-08-19;26433,40;200358,90;hs_05;"circle: IV2022032121272563; square: IV2022032121314471"
2;57521_1;169536_v2020;57521;1;2130;2130_had;100;bestaand meetpunt;hoofdtype aanwezig;2020-07-16;24858,50;196678,50;ca_13;"circle: IV2021011421011981; square: IV2021011421031696"
2;61233_2;561267_v2018;61233;1;2130;2130_hd;35;bestaand meetpunt;hoofdtype aanwezig;2020-08-17;33013,90;203760,70;ty_18;"circle: IV2021030415195566; square: IV2021030415234918"
2;61877_2;609725_v2018;61877;1;2120;2120;100;bestaand meetpunt;hoofdtype aanwezig;2020-07-09;61996,10;223078,00;61877;"circle: IV2021011311172856; square: IV2021011311205751"
2;64821_1;501729_v2020;64821;1;2180;2180;100;bestaand meetpunt;hoofdtype aanwezig;2020-09-14;77914,00;228034,60;zw_17;"circle: IV2021021118354522; square: IV2021021208503675"
2;64949_1;581557_v2014;64949;1;2160;2160;50;bestaand meetpunt;hoofdtype aanwezig;2020-07-14;59305,00;221256,80;bd_13;"circle: IV2021011409405597; square: IV2021011409434206"
2;67697_1;638498_v2014;67697;1;2160;2160;80;bestaand meetpunt;hoofdtype aanwezig;2020-07-10;53437,60;217230,10;67697;"circle: IV2021011317581609; square: IV2021011318514943"
