Typeklasse	Type	Naam	VerkorteNaam
Binnenlandse duinen	2310	Psammofiele heide met Calluna en Genista	droge heide op landduinen
Binnenlandse duinen	2330	Open grasland met Corynephorus- en Agrostissoorten op landduinen	open grasland op landduinen
Binnenlandse duinen	2330_bu	buntgrasverbond	buntgrasvegetatie
Binnenlandse duinen	2330_dw	dwerghaververbond	dwerghavervegetatie
Zoete en brakke wateren	3110	Mineraalarme oligotrofe wateren van de Atlantische zandvlakten (Littorelletalia uniflorae)	zeer zwakgebufferde vennen
Zoete en brakke wateren	3130	Oligotrofe tot mesotrofe stilstaande wateren met vegetatie behorend tot de Littorelletalia uniflorae en/of de Isoëto-Nanojuncetea	zwakgebufferde vennen
Zoete en brakke wateren	3130_aom	oligotrofe tot mesotrofe vijvers en vennen met pioniersgemeenschappen op de kale oever of in de ondiepe oeverzone (oeverkruidgemeenschappen; Littorelletea)	oligotrofe tot mesotrofe vijvers en vennen
Zoete en brakke wateren	3130_na	oevers van tijdelijke of permanente plassen of poelen met eenjarige dwergbiezenvegetaties (Isoëto-Nanojuncetea)	dwergbiezenvegetaties
Zoete en brakke wateren	3140	Kalkhoudende oligo-mesotrofe wateren met benthische Chara spp. vegetaties	kranswierwateren
Zoete en brakke wateren	3150	Van nature eutrofe meren met vegetaties van het type Magnopotamion of Hydrocharition	van nature eutrofe wateren
Zoete en brakke wateren	3160	Dystrofe natuurlijke poelen en meren	dystrofe vennen
Zoete en brakke wateren	3260	Submontane en laaglandrivieren met vegetaties behorend tot het Ranunculion fluitantis en het Callitricho-Batrachion	beken en rivieren met bepaalde waterplanten
Zoete en brakke wateren	3270	Rivieren met slikoevers met vegetaties behorend tot het Chenopodion rubri p.p. en Bidention p.p.	voedselrijke slikoevers met bepaalde eenjarige planten
Zoete en brakke wateren	rbbah	brak tot zilt water	brak tot zilt water
Heiden	4010	Noord-Atlantische vochtige heide met Erica tetralix	vochtige heide
Heiden	4030	Droge Europese heide	droge heide
Heiden	rbbsg	brem- en gaspeldoornstruweel	brem- en gaspeldoornstruweel
Heiden	rbbsm	gagelstruweel	gagelstruweel
Thermofiel struikgewas	5130	Juniperus communis-formaties in heide of kalkgrasland	jeneverbesstruwelen
Thermofiel struikgewas	5130_hei	variant jeneverbesstruweel in heide (5130_hei)	jeneverbesstruweel in heide
Thermofiel struikgewas	5130_kalk	variant jeneverbesstruweel in kalkgrasland (5130_kalk)	jeneverbesstruweel in kalkgrasland
(Half-)natuurlijke graslanden	6120	Kalkminnend grasland op dorre zandbodem	stroomdalgraslanden
(Half-)natuurlijke graslanden	6210	Droge halfnatuurlijke graslanden en struikvormende faciës op kalkhoudende bodems (Festuco Brometalia)	droge kalkgraslanden en struweel op kalkbodem
(Half-)natuurlijke graslanden	6210_hk	kalkgrasland (Gentiano-Koelerietum)	kalkgraslanden
(Half-)natuurlijke graslanden	6210_sk	kalkrijke zomen en struwelen	kalkrijke zomen en struwelen
(Half-)natuurlijke graslanden	6230	Soortenrijke heischrale graslanden op arme bodems van berggebieden (en van submontane gebieden in het binnenland van Europa)	heischrale graslanden
(Half-)natuurlijke graslanden	6230_ha	soortenrijke graslanden van het struisgrasverbond	struisgrasland
(Half-)natuurlijke graslanden	6230_hmo	vochtige heischrale graslanden	vochtige heischrale graslanden
(Half-)natuurlijke graslanden	6230_hn	droge heischrale graslanden	droge heischrale graslanden
(Half-)natuurlijke graslanden	6230_hnk	droge, kalkrijkere heischrale graslanden  (Betonica-Brachypodietum)	kalkrijkere heischrale graslanden
(Half-)natuurlijke graslanden	6410	Grasland met Molinia op kalkhoudende, venige of lemige kleibodem (Molinion caeruleae)	blauwgraslanden
(Half-)natuurlijke graslanden	6410_mo	blauwgrasland	blauwgrasland
(Half-)natuurlijke graslanden	6410_ve	veldrusassociatie (veldrusgraslanden)	veldrusgrasland
(Half-)natuurlijke graslanden	6430	Voedselrijke zoomvormende ruigten van het laagland en van de montane en alpiene zones	voedselrijke zoomvormende ruigten
(Half-)natuurlijke graslanden	6430_bz	Nitrofiele boszomen met minder algemene plantensoorten	nitrofiele boszoom
(Half-)natuurlijke graslanden	6430_hf	moerasspireaverbond (moerasspirearuigten)	moerasspirearuigte
(Half-)natuurlijke graslanden	6430_hw	verbond van Harig wilgenroosje	ruigte en zoom met harig wilgenroosje
(Half-)natuurlijke graslanden	6430_mr	ruigere rietlanden in zwak brakke omstandigheden met Echte heemst,  Moeraslathyrus en/of Moerasmelkdistel (brakke rietvegetaties met Echte heemst )	ruiger rietland
(Half-)natuurlijke graslanden	6510	Laaggelegen schraal hooiland (Alopecurus pratensis, Sanguisorba officinalis)	soortenrijke glanshavergraslanden
(Half-)natuurlijke graslanden	6510_hu	glanshavergraslanden (Arrhenaterion)	glanshavergrasland
(Half-)natuurlijke graslanden	6510_hua	Grote vossenstaart-graslanden met Weidekervel of Weidekervel-torkruid (Alopecurion)	habitatwaardig vossenstaartgrasland
(Half-)natuurlijke graslanden	6510_huk	kalkrijk kamgrasgrasland (Galio-Trifolietum)	kalkrijk kamgrasgrasland
(Half-)natuurlijke graslanden	6510_hus	glanshavergraslanden met Grote pimpernel	pimpernelgrasland
(Half-)natuurlijke graslanden	rbbha	soortenrijk, niet habitatwaardig struisgrasvegetatie	soortenrijke struisgrasvegetatie
(Half-)natuurlijke graslanden	rbbhc	dotterbloemgrasland	dotterbloemgrasland
(Half-)natuurlijke graslanden	rbbhf	moerasspirearuigte met graslandkenmerken	moerasspirearuigte met graslandkenmerken
(Half-)natuurlijke graslanden	rbbhfl	moerasspirearuigte met graslandkenmerken – zure variant (als rbbhf in de Habitatkaart; enkel via extra selectie in de BWK-velden te selecteren)	natte ruigte met grote wederik en hennegras
(Half-)natuurlijke graslanden	rbbkam	kamgrasland	kamgrasland
(Half-)natuurlijke graslanden	rbbkam+	soortenrijk kamgrasland	soortenrijk kamgrasland
(Half-)natuurlijke graslanden	rbbvos	grote vossenstaartgrasland niet vervat in 6510	grote vossenstaartgrasland
(Half-)natuurlijke graslanden	rbbvos+	soortenrijk grote vossenstaartgrasland	soortenrijk grote vossenstaartgrasland
(Half-)natuurlijke graslanden	rbbzil	zilverschoongrasland	zilverschoongrasland
(Half-)natuurlijke graslanden	rbbzil+	soortenrijk zilverschoongrasland	soortenrijk zilverschoongrasland
Moerassen	7110	Actief hoogveen	actief hoogveen
Moerassen	7140	Overgangs- en trilveen	overgangs- en trilveen
Moerassen	7140_base	basenrijk trilveen met Ronde zegge	basenrijk trilveen
Moerassen	7140_meso	mineraalarm, circum-neutraal overgangsveen	circum-neutraal overgangsveen
Moerassen	7140_mrd	varen- en/of (veen)mosrijke rietlanden op drijftillen	rietland op drijftillen
Moerassen	7140_oli	oligotroof en zuur overgangsveen	zuur overgangsveen
Moerassen	7150	Slenken in veengronden met vegetatie behorend tot het Rhynchosporion	pioniervegetaties met snavelbiezen
Moerassen	7210	Kalkhoudende moerassen met Cladium mariscus en soorten van het Caricion davallianae	galigaanmoerassen
Moerassen	7220	Kalktufbronnen met tufsteenformatie (Cratoneurion)	kalktufbronnen
Moerassen	7230	Alkalisch laagveen	alkalisch laagveen
Moerassen	rbbmc	grote zeggenvegetatie	grote zeggenvegetatie
Moerassen	rbbmr	rietland en andere vegetatie van het rietverbond	rietland en andere vegetatie van het rietverbond
Moerassen	rbbms	kleine zeggenvegetatie niet vervat in overgangsveen (7140)	kleine zeggenvegetatie niet vervat in 7140
Rotsachtige habitats en grotten	8310	Niet voor het publiek opengestelde grotten	niet voor publiek opengestelde grotten
Bossen en struwelen	9110	Beukenbossen van het type Luzulo-Fagetum	veldbies-beukenbossen
Bossen en struwelen	9120	Atlantische zuurminnende beukenbossen met Ilex en soms ook Taxus in de ondergroei (Quercion robori-petraeae of Ilici-Fagenion)	beuken-eikenbossen op zure bodem
Bossen en struwelen	9120_qb	eikenberkenbos als successiestadium van de zure eiken- en beukenbossen	eiken-berkenbos als successiestadium
Bossen en struwelen	9130	Beukenbossen van het type Asperulo-Fagetum.	eiken-beukenbossen met wilde hyacint en parelgras-beukenbossen
Bossen en struwelen	9130_end	Atlantisch neutrofiel beukenbos gekenmerkt door een uitgesproken Atlantische invloed (Endymio-Fagetum)	atlantisch neutrofiel beukenbos
Bossen en struwelen	9130_fm	Midden-Europese neutrofiel beukenbos dat voorkomt in het Continentaal gebied op kalkhoudende, rijke bodems met typische aanwezigheid van Eenbloemig parelgras en Lievevrouwebedstro (Parelgras-Beukenbos, Melico-Fagetum)	midden-Europese neutrofiel beukenbos
Bossen en struwelen	9150	Midden-Europese kalkminnende beukenbossen behorende tot het Cephalanthero-Fagion	kalkminnende beukenbossen
Bossen en struwelen	9160	Sub-Atlantische en Midden-Europese wintereikenbossen of eiken-haagbeukbossen behorend tot het Carpinion-betuli	eiken-haagbeukenbossen
Bossen en struwelen	9190	Oude zuurminnende eikenbossen op zandvlakten met Quercus robur	oude eiken-berkenbossen
Bossen en struwelen	91E0	Bossen op alluviale grond met Alnus glutinosa en Fraxinus excelsior (Alno-Padion,Alnion incanae, Salicion albae)	vochtige alluviale bossen
Bossen en struwelen	91E0_sf	wilgenvloedbos (zachthoutooibos; Salicetum albae)	wilgenvloedbos
Bossen en struwelen	91E0_va	beekbegeleidend vogelkers-essenbos en essen-iepenbos (Pruno-Fraxinetum)	beekbegeleidend bos
Bossen en struwelen	91E0_vc	goudveil-essenbos (Carici-Remotae fraxinetum)	goudveil-essenbos
Bossen en struwelen	91E0_vm	mesotroof broekbos op minder voedselrijke standplaatsen (Carici elongatae-Alnetum)	mesotroof broekbos
Bossen en struwelen	91E0_vn	ruigt-elzenbos (Filipendulo-Alnetum, Macrophorbio-Alnetum, Cirsio-Alnetum)	ruigt-elzenbos
Bossen en struwelen	91E0_vo	oligotroof broekbos, inclusief elzen-berkenbroekbos en berkenbroekbos (Carici laevigata-Alnetum)	oligotroof broekbos
Bossen en struwelen	91F0	Gemengde oeverformaties met Quercus robur, Ulmus laevis en Ulmus minor, Fraxinus excelsior of Fraxinus angustifolia, langs de grote rivieren (Ulmenion minoris)	hardhoutooibossen
Bossen en struwelen	rbbppm	structuurrijk, oud bestand van grove den	structuurrijk, oud bestand van grove den
Bossen en struwelen	rbbsf	moerasbos van breedbladige wilgen	moerasbos van breedbladige wilgen
Bossen en struwelen	rbbso	vochtig wilgenstruweel op venige en zure grond	vochtig wilgenstruweel op venige of zure grond
Bossen en struwelen	rbbsp	doornstruweel	doornstruweel
